Couleur;Code
Bleu-Canard-7g;#9DDEE4
Bleu-Charette-7g;#81C5DA
Bleu-Charette-15g;#8ED0E7
Bleu-Lavande-3g;#B8BECE
Bleu-lavande-7g;#9FAED2
Bleu-Outremer-3g;#9AB0E0
Bleu-Outremer-7g;#688EDE
Gris-Etain-17g;#E0D6C7
Jaune-920-1g;#EFCE98
Jaune-920-3g;#F8C362
Jaune-920-7g;#E8AE42
Jaune-920-17g;#D7982F
Jaune-Citron-3g;#D7D0C0
Jaune-Indien-7g;#D3AF8B
Marron-Glaise-7g;#DDC6BE
Ocre-Havance-1g;#D4C2B5
Ocre-Havance-3g;#D3B498
Ocre-Jaune-jfles-3g;#E5CCAC
Ombre-De-Chypre-HG-7g;#BB9779
Ombre-Naturelle-7g;#BBA99B
Ombre-Naturelle-17g;#A38A75
Orange-960-1g;#C49265
Orange-960-3g;#C56E3D
Oxy-Apt-Jaune-3g;#E9D3B4
Oxy-Apt-Jaune-3g-Bis;#E5CBAB
Oxy-Apt-Jaune-7g;#E9C893
Patine-Terre-17g;#D3CBC4
Rouge-130-1g;#EF987D
Rouge-Ercolano-7g;#E5734C
Rouge-Indien-1g;#DDB6AE
Rouge-Indien-3g;#DFACA2
Rouge-San-Franc-3g;#F2CBCC
Rouge-San-Franc-7g;#F4C9CA
Rouge-San-Franc-15g;#F6B6B5
Rouge-Vermillon-1g;#CFB1B1
Sienne-Calcinée-3g;#DAAE9C
Sienne-Naturelle-17g;#D6A77A
Ton-Pierre-1g;#E5C895
Ton-Pierre-3g;#EFBF6F
Ton-Pierre-7g;#E8A644
Ton-Pierre-17g;#D98D36
Vert-A-La-Chaux-3g;#CED8D5
Vert-A-La-Chaux-15g;#A8DFD8
Vert-Monte-Carlo-3g;#CFDADE
Vert-Monte-Carlo-7g;#AABDB6
Vert-Monte-Carlo-15g;#99AEA6
Vert-Monte-Carlo-17g;#91A8A0
Vert-Pistache-7g;#A2AC98
Vert-Pistache-15g;#95A288
Blanc-Tiona-1g;#F0EDEB
Blanc-Tiona-3g;#D9D6D4
Blanc-Tiona-7g;#DBD9D7
Bleu-Charette-1g;#DEE1E2
Bleu-Charette-3g;#ABC7D0
Bleu-Lavande-1g;#C4C6CA
Bleu-Outremer-1g;#C1CBDA
Bois-De-Rose-1g;#EEE0DD
Bois-De-Rose-3g;#ECCFCB
Bois-De-Rose-7g;#FCC8BC
Gris-Anthracite-1g;#EAE6E5
Gris-Anthracite-3g;#DFDEE1
Gris-Ardoise-1g;#D0CCCA
Gris-Ardoise-3g;#CCCAC9
Gris-Ardoise-7g;#D2CECC
Gris-Ardoise-12g;#C3BEBE
Gris-Ardoise-17g;#C5C2C2
Gris-Etain-1g;#E2DEDB
Gris-Etain-3g;#F1EFEE
Sienne-Calcinée-1g;#DCC2B9
Sienne-Natuelle-1g;#F9EAD9C
Sienne-Natuelle-3g;#EDDBCB
Sienne-Natuelle-7g;#E8D3B7
Terre-Jaune-D-Italie-1g;#DED4C7
Terre-Jaune-D-Italie-3g;#E9D8C1
Terre-Omb-Verd-1g;#CAC4C0
Terre-Omb-Verd-3g;#D1C6C0
Terre-Omb-Verd-7g;#B5A79C
Terre-V-Anc-1g;#E0DCD9
Terre-V-Anc-3g;#D8D3CC
Terre-V-Anc-7g;#D5CCC5
Terre-V-Anc-12g;#D9CFC2
Terre-V-D-N-1g;#DADBD8
Terre-V-D-N-3g;#D4D5D1
Terre-V-D-N-7g;#CED7D0
Terre-V-De-Bren-12g;#CDD1C8
Gris-Anthracite-17g;#C2C1C7
Ocre-Havance-7g;#D0A177
Orange-960-17g;#B65631
Rouge-130-7g;#D46051
Verte Turquoise 9g Bleu Kossoghol 4g;#6892A1
Bleu Lavande 12g Noir 318 1g;#6B7A97
Bleu Outremer 12g Noir 318 0,5g;#013CB2
Vert Colibri 15g Bleu kossoghol 6g;#3E8CB2
Jaune citron 12g Bleu kossoghol 4g;#8C9B98
VertPistache 9g Bleu kossoghol 4g;#7F9682
Jaune Citron 15g Gris Anthracite 6g;#A0A088
Vert turquoise 9g Bleu Kossoghol 4g;#6998AC
Brun-Bs-2g;#C67F6C
Brun-Bs-5g;#B8715F
Brun-Bs-10g;#A45C4F
Brun-Bs-17g;#974D3E
Jaune-420-2g;#FBD081
Jaune-420-5g;#F1AE36
Jaune-420-10g;#EBAC48
Jaune-420-17g;#E89D31
Rouge-Indien-7g;#D18373
